[2026-06-04T01:00:02.040Z] ⚠️  posts_log.json에 포스팅이 없습니다
[2026-06-04T02:44:19.345Z] 🚀  threads_poster 시작 — 오늘의 게시글: "KBO 500만 관중 돌파, 2026 순위 싸움 완전 정리" | shariOnly=false
[2026-06-04T02:44:19.345Z] 🌐  Threads 브라우저 시작...
[2026-06-04T02:44:24.731Z] ✅  Threads 세션 준비 완료
[2026-06-04T02:44:24.731Z]   ───────────────────────────────────────────────────────
[2026-06-04T02:44:24.732Z] 📰  오늘의 포스팅: KBO 500만 관중 돌파, 2026 순위 싸움 완전 정리
[2026-06-04T02:44:24.732Z] ✍️  홍보글 생성: KBO 500만 관중 돌파, 2026 순위 싸움 완전 정리
[2026-06-04T02:44:25.109Z] ⚠️  홍보글 생성 실패 (fallback 사용): 400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits."},"request_id":"req_011CbhTAMiMhrVN7hcXawKns"}
[2026-06-04T02:44:25.110Z] 📤  게시 시작: 역대 최단기간 500만 관중을 돌파한 2026 KBO 순위 싸움 핵심 분석! LG, KT,...
[2026-06-04T02:44:49.640Z] ⚠️  작성 영역 클릭 실패
[2026-06-04T02:47:00.092Z] ✅  게시 완료
[2026-06-04T02:47:00.093Z] ✅  게시 완료: KBO 500만 관중 돌파, 2026 순위 싸움 완전 정리
[2026-06-04T02:47:00.093Z] ⏱️  대기 71.7초...
[2026-06-04T02:48:11.839Z]   ───────────────────────────────────────────────────────
[2026-06-04T02:48:11.840Z] 🔥  스하리 시작 (목표: 15개) — 검색 기반 모집글 탐색
[2026-06-04T02:48:11.841Z] 🔍  "스하리반하리" 검색 중...
[2026-06-04T02:49:18.901Z] 📋  "스하리반하리" — 포스트 4개 발견
[2026-06-04T02:49:18.901Z] 👤  스하리 진행: @yang__gaa
[2026-06-04T02:49:18.902Z] ⏱️  대기 92.5초...
[2026-06-04T02:51:46.290Z] 🎲  액션 패턴 1 선택
[2026-06-04T02:51:47.303Z] ❤️  좋아요: @yang__gaa
[2026-06-04T02:52:05.547Z] ➕  팔로우 (프로필): @yang__gaa
[2026-06-04T02:52:22.279Z] 🔁  리포스트: @yang__gaa
[2026-06-04T02:52:47.091Z] 💬  댓글 남김: "반하리 할게요 🔁💚"
[2026-06-04T02:52:47.093Z] 🎉  스하리 완료: @yang__gaa (1/15)
[2026-06-04T02:52:47.094Z] ⏱️  대기 13.0초...
[2026-06-04T02:53:00.128Z] ⏭️  이미 처리한 계정 스킵: @soul7_944
[2026-06-04T02:53:00.128Z] ⏭️  이미 처리한 계정 스킵: @frenzy_winter
[2026-06-04T02:53:00.129Z] 👤  스하리 진행: @ynh_gift
[2026-06-04T02:53:00.129Z] ⏱️  대기 12.3초...
[2026-06-04T02:53:54.605Z] 🎲  액션 패턴 1 선택
[2026-06-04T02:53:55.461Z] ❤️  좋아요: @ynh_gift
[2026-06-04T02:54:15.074Z] ➕  팔로우 (프로필): @ynh_gift
[2026-06-04T02:54:33.686Z] 🔁  리포스트: @ynh_gift
[2026-06-04T02:55:10.459Z] 💬  댓글 남김: "스하리+반하리 💕"
[2026-06-04T02:55:10.461Z] 🎉  스하리 완료: @ynh_gift (2/15)
[2026-06-04T02:55:10.461Z] ⏱️  대기 51.8초...
[2026-06-04T02:56:02.235Z] 🔍  "스하리3000명프로젝트" 검색 중...
[2026-06-04T02:57:01.648Z] 📋  "스하리3000명프로젝트" — 포스트 8개 발견
[2026-06-04T02:57:01.648Z] ⏭️  이미 처리한 계정 스킵: @kongalne
[2026-06-04T02:57:01.649Z] 👤  스하리 진행: @iroom.kids
[2026-06-04T02:57:01.649Z] ⏱️  대기 103.1초...
[2026-06-04T02:59:34.897Z] 🎲  액션 패턴 3 선택
[2026-06-04T02:59:50.207Z] ❤️  좋아요: @iroom.kids
[2026-06-04T03:00:28.771Z] 🔁  리포스트: @iroom.kids
[2026-06-04T03:00:55.181Z] 💬  댓글 남김: "스하리 합니다 ✨"
[2026-06-04T03:01:13.845Z] ➕  팔로우 (프로필): @iroom.kids
[2026-06-04T03:01:19.791Z] 🎉  스하리 완료: @iroom.kids (3/15)
[2026-06-04T03:01:19.792Z] ⏱️  대기 18.3초...
[2026-06-04T03:01:38.082Z] 👤  스하리 진행: @anywaytimeflows
[2026-06-04T03:01:38.083Z] ⏱️  대기 18.7초...
[2026-06-04T03:02:28.699Z] 🎲  액션 패턴 3 선택
[2026-06-04T03:02:42.446Z] ❤️  좋아요: @anywaytimeflows
[2026-06-04T03:03:21.907Z] 🔁  리포스트: @anywaytimeflows
[2026-06-04T03:03:47.447Z] 💬  댓글 남김: "반하리 할게요 🔁💚"
[2026-06-04T03:04:06.943Z] ➕  팔로우 (프로필): @anywaytimeflows
[2026-06-04T03:04:17.652Z] 🎉  스하리 완료: @anywaytimeflows (4/15)
[2026-06-04T03:04:17.652Z] ⏱️  대기 6.6초...
[2026-06-04T03:04:24.220Z] 👤  스하리 진행: @nobaksa.realestate
[2026-06-04T03:04:24.221Z] ⏱️  대기 14.4초...
[2026-06-04T03:05:09.569Z] 🎲  액션 패턴 1 선택
[2026-06-04T03:05:24.818Z] ❤️  좋아요: @nobaksa.realestate
[2026-06-04T03:05:53.126Z] ➕  팔로우 (프로필): @nobaksa.realestate
[2026-06-04T03:06:28.438Z] 🔁  리포스트: @nobaksa.realestate
[2026-06-04T03:06:58.601Z] 💬  댓글 남김: "스하리+반하리 💕"
[2026-06-04T03:06:58.602Z] 🎉  스하리 완료: @nobaksa.realestate (5/15)
[2026-06-04T03:06:58.603Z] ⏱️  대기 19.3초...
[2026-06-04T03:07:17.923Z] 👤  스하리 진행: @eittlwwer
[2026-06-04T03:07:17.923Z] ⏱️  대기 5.5초...
[2026-06-04T03:08:18.480Z] 🎲  액션 패턴 2 선택
[2026-06-04T03:08:36.855Z] ➕  팔로우 (프로필): @eittlwwer
[2026-06-04T03:08:57.566Z] ❤️  좋아요: @eittlwwer
[2026-06-04T03:09:23.839Z] 💬  댓글 남김: "맞팔해요 🩷"
[2026-06-04T03:09:23.841Z] ⚠️  리포스트 버튼 못 찾음: @eittlwwer
[2026-06-04T03:09:23.842Z] 🎉  스하리 완료: @eittlwwer (6/15)
[2026-06-04T03:09:23.842Z] ⏱️  대기 13.9초...
[2026-06-04T03:09:37.780Z] 👤  스하리 진행: @_thefleurdesel
[2026-06-04T03:09:37.781Z] ⏱️  대기 23.3초...
[2026-06-04T03:10:55.449Z] 🎲  액션 패턴 2 선택
[2026-06-04T03:11:20.510Z] ➕  팔로우 (프로필): @_thefleurdesel
[2026-06-04T03:11:32.742Z] ❤️  좋아요: @_thefleurdesel
[2026-06-04T03:11:53.606Z] 💬  댓글 남김: "팔로우 했어요 😊🩷"
[2026-06-04T03:11:53.608Z] ⚠️  리포스트 버튼 못 찾음: @_thefleurdesel
[2026-06-04T03:11:53.609Z] 🎉  스하리 완료: @_thefleurdesel (7/15)
[2026-06-04T03:11:53.610Z] ⏱️  대기 37.3초...
[2026-06-04T03:12:30.891Z] 👤  스하리 진행: @manmulsang_0112
[2026-06-04T03:12:30.892Z] ⏱️  대기 83.0초...
[2026-06-04T03:14:19.039Z] 🎲  액션 패턴 1 선택
[2026-06-04T03:14:19.041Z] ⚠️  좋아요 버튼 못 찾음: @manmulsang_0112
[2026-06-04T03:14:40.596Z] ➕  팔로우 (프로필): @manmulsang_0112
[2026-06-04T03:14:50.618Z] 🔁  리포스트: @manmulsang_0112
[2026-06-04T03:15:19.112Z] 💬  댓글 남김: "스하리+반하리 💕"
[2026-06-04T03:15:19.114Z] 🎉  스하리 완료: @manmulsang_0112 (8/15)
[2026-06-04T03:15:19.115Z] ⏱️  대기 26.8초...
[2026-06-04T03:15:45.924Z] 👤  스하리 진행: @harid.accessories
[2026-06-04T03:15:45.925Z] ⏱️  대기 7.7초...
[2026-06-04T03:16:14.679Z] 🎲  액션 패턴 1 선택
[2026-06-04T03:16:15.449Z] ❤️  좋아요: @harid.accessories
[2026-06-04T03:16:31.772Z] ⏭️  이미 팔로우 중: @harid.accessories
[2026-06-04T03:16:40.994Z] ⚠️  리포스트 버튼 못 찾음: @harid.accessories
[2026-06-04T03:17:01.513Z] 💬  댓글 남김: "맞팔해요 🩷"
[2026-06-04T03:17:01.514Z] 🎉  스하리 완료: @harid.accessories (9/15)
[2026-06-04T03:17:01.514Z] ⏱️  대기 26.8초...
[2026-06-04T03:17:28.283Z] 🔍  "스하리모집" 검색 중...
[2026-06-04T03:18:22.508Z] 📋  "스하리모집" — 포스트 0개 발견
[2026-06-04T03:18:22.508Z] 🔍  "스하리1000명프로젝트" 검색 중...
[2026-06-04T03:19:21.523Z] 📋  "스하리1000명프로젝트" — 포스트 13개 발견
[2026-06-04T03:19:21.523Z] 👤  스하리 진행: @olly_living
[2026-06-04T03:19:21.524Z] ⏱️  대기 6.6초...
[2026-06-04T03:19:33.187Z] ❌  스하리 실패: page.evaluate: Target page, context or browser has been closed
[2026-06-04T03:19:33.188Z] 🔒  Threads 세션 종료
[2026-06-04T03:19:33.188Z]   =======================================================
[2026-06-04T03:19:33.188Z] 🎉  완료 — 게시 1/1 | 스하리 총 0개
[2026-06-04T03:19:34.118Z] 📱  텔레그램 알림 전송 완료
